Laddningstidpunkt,Material,Tilläggstjänst per produkt,Kundens beställningsdatum,Verklig vikt,Försäljningsdokument,Enhet för längd/bredd/höjd,Företag,Fraktdragande vikt,Inhämtande terminal,Inlämningsperiod,Inlämningsställe,Summa nettoomsättning SD (inkl avgift),Valutakod,Villkorsdelsumma 3 ur kalkylschema,SD-dokumentets valuta,Kollinummer,Referensdokumentnummer,Försäljningskvantitet (st),Från Land,Till Land,Paketvikt,Räkenskapsår/period,Från Postnummer,Till Postnummer,Inhämtningsterminal,s_ord_item,samtaxering,Terminalavgift,Fakt tillägg/avgift,Drivmedels- och svaveltillägg,Kundnummer uppdragsgivare,spridande terminal,Viktenhet,Viktklass (taxerad vikt),Volymer i kubikmeter,Volymvikt (baserat på avtal),Avstånd Km,Sändnings ID,Bredd,Höjd,Längd,Kollislag,Prisgrupp
07Dec2019 15:45:00,000000000001001029,,2019-10-02,7.680,1510950371,M,F091,7.680,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222444801,7501465047,1,SE,SE,0000000008,201910,20210,20502,,003150,N,0.00,0.00,0.00,0020689885,,KG,8,0.027,7.680,00000,,0.310,0.220,0.390,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,21.080,1510950371,M,F091,21.080,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222444818,7501465047,1,SE,SE,0000000022,201910,20210,20502,,003160,N,0.00,0.00,0.00,0020689885,,KG,21,0.060,21.080,00000,,0.450,0.290,0.460,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,7.300,1510950371,M,F091,7.300,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222444825,7501465047,1,SE,SE,0000000008,201910,20210,20502,,003170,N,0.00,0.00,0.00,0020689885,,KG,7,0.024,7.300,00000,,0.260,0.260,0.360,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,7.340,1510950371,M,F091,7.340,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222444832,7501465047,1,SE,SE,0000000008,201910,20210,20502,,003180,N,0.00,0.00,0.00,0020689885,,KG,7,0.025,7.340,00000,,0.260,0.260,0.370,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,7.700,1510950371,M,F091,7.700,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222444849,7501465047,1,SE,SE,0000000008,201910,20210,20502,,003190,N,0.00,0.00,0.00,0020689885,,KG,8,0.024,7.700,00000,,0.260,0.260,0.360,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,5.700,1510950371,M,F091,17.080,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222444856,7501465047,1,SE,SE,0000000018,201910,20210,20502,,003200,N,0.00,0.00,0.00,0020689885,,KG,6,0.061,5.700,00000,,0.390,0.270,0.580,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,3.900,1510950371,M,F091,9.520,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222444863,7501465047,1,SE,SE,0000000010,201910,20210,20502,,003210,N,0.00,0.00,0.00,0020689885,,KG,4,0.034,3.900,00000,,0.300,0.290,0.390,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,2.580,1510950371,M,F091,17.360,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222444870,7501465047,1,SE,SE,0000000018,201910,20210,20502,,003220,N,0.00,0.00,0.00,0020689885,,KG,3,0.062,2.580,00000,,0.400,0.270,0.570,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,3.820,1510950371,M,F091,13.720,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222444887,7501465047,1,SE,SE,0000000014,201910,20210,20502,,003230,N,0.00,0.00,0.00,0020689885,,KG,4,0.049,3.820,00000,,0.410,0.210,0.570,,
07Dec2019 15:45:00,000000000001001029,,2019-10-02,3.300,1510950371,M,F091,11.480,,201910,,0.00,SEK,0.00,SEK,00000000000000000373500353222444894,7501465047,1,SE,SE,0000000012,201910,20210,20502,,003240,N,0.00,0.00,0.00,0020689885,,KG,3,0.041,3.300,00000,,0.380,0.250,0.430,,
